Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
E06000004,,Stockton-on-Tees UA,,12.32,17.21,39.61,30.86,7.21,10.04,9.89,14.76,9.3,14.06,20.36,4.88,35.8,43.41,6.05,27.19,34.54,1.29,7.03,7.39,866
E06000005,,Darlington UA,,10.39,17.13,38.8,33.68,7.35,11.2,8.1,12.68,8.77,14.18,20.08,4.92,35.05,42.56,5.79,29.84,37.51,1.21,7.18,7.53,950
E06000006,,Halton UA,,12.12,20.43,35.68,31.77,7.19,10.36,9.65,14.59,8.42,17.05,23.81,5.4,31.89,39.47,5.58,28.28,35.26,1.24,7.01,7.36,861
E06000007,,Warrington UA,,10.53,18.83,40.64,30,7.27,12.59,7.92,13.14,8.78,15.58,22.08,5.15,36.53,44.75,6.81,25.98,34.02,1.36,7.07,7.46,755
E06000008,,Blackburn with Darwen UA,,10.4,20.08,33.23,36.29,7.34,12.28,7.89,12.91,8.46,16.74,23.42,5.6,29.57,36.89,6.06,31.96,40.62,1.41,7.13,7.54,860
E06000009,,Blackpool UA,,17.88,18.67,32.55,30.9,6.9,8.04,15.06,20.71,7.14,16.05,21.29,4.91,29.41,35.69,6.02,27.24,34.56,1.48,6.7,7.1,1028
E06000010,,"Kingston upon Hull, City of UA",,11.55,19.84,39.85,28.76,7.13,12.79,8.64,14.45,6.89,17.15,22.53,4.99,35.94,43.75,5.9,25.43,32.1,1.43,6.93,7.33,967
E06000011,,East Riding of Yorkshire UA,,9.89,15.91,38.77,35.44,7.45,12.09,7.54,12.24,8.48,13.25,18.56,4.71,35.17,42.36,5.42,31.66,39.22,1.15,7.28,7.62,780
E06000012,,North East Lincolnshire UA,,11.93,15.65,36.4,36.03,7.33,10.48,9.47,14.39,8.54,13.02,18.28,5.22,32.66,40.13,5.22,32.33,39.73,1.3,7.14,7.51,937
E06000013,,North Lincolnshire UA,,8.32,17.01,38.51,36.16,7.51,12.58,6.26,10.38,9.57,13.81,20.22,5.33,34.47,42.54,5.75,32.08,40.25,1.08,7.35,7.67,868
E06000014,,York UA,,8.36,20.19,42.76,28.69,7.32,13.22,6.18,10.53,6.91,17.45,22.93,4.18,39.25,46.27,5.93,25.34,32.04,1.05,7.17,7.48,949
E06000015,,Derby UA ,,8.6,20.13,37.57,33.7,7.4,12.49,6.49,10.72,8.07,16.93,23.33,4.99,33.88,41.25,5.67,29.94,37.45,1.11,7.24,7.56,840
E06000016,,Leicester UA,,8.88,23.47,33.92,33.73,7.35,12.57,6.68,11.07,7.07,20.21,26.74,5.79,30.05,37.78,5.55,30.05,37.41,1.16,7.18,7.52,873
E06000017,,Rutland UA ,,,,,,7.73,30.55,2.35,9.58,15.64,9.14,17.34,7.53,38.04,51.39,8.6,29.93,42.23,1.78,7.46,8.01,280
E06000018,,Nottingham UA,,11.65,20.81,34.92,32.62,7.22,10.93,9.15,14.15,7.63,17.69,23.93,5.07,31.44,38.4,5.8,28.9,36.34,1.19,7.05,7.39,960
E06000019,,"Herefordshire, County of UA",,8.56,18.1,40.39,32.95,7.42,13.2,6.34,10.78,8.99,14.9,21.31,4.8,36.58,44.2,5.69,29.26,36.64,1.17,7.25,7.6,849
E06000020,,Telford and Wrekin UA,,11.01,17.95,36.89,34.15,7.36,11.6,8.5,13.52,7.95,15.14,20.75,4.88,33.35,40.44,5.23,30.64,37.66,1.19,7.19,7.54,926
E06000021,,Stoke-on-Trent UA,,13.35,18.04,34.36,34.26,7.21,9.89,10.75,15.95,9.04,14.83,21.24,5.52,30.63,38.09,5.71,30.41,38.1,1.36,7.02,7.41,844
E06000022,,Bath and North East Somerset UA,,8.43,19.11,43.83,28.63,7.3,13.57,6.18,10.68,7.35,16.35,21.87,4.65,39.82,47.83,6.22,25.13,32.13,1.12,7.14,7.46,1026
E06000023,,"Bristol, City of UA",,10.78,19.24,38.61,31.37,7.21,10.47,8.56,13,8.61,15.98,22.5,5.71,34.27,42.94,7.05,27.02,35.73,1.32,7.03,7.4,770
E06000024,,North Somerset UA,,8.44,18.45,41.13,31.98,7.42,12.28,6.4,10.48,8.95,15.2,21.7,4.75,37.28,44.97,5.89,28.28,35.69,1.11,7.25,7.58,750
E06000025,,South Gloucestershire UA,,8.37,15.59,43.81,32.24,7.52,16.42,5.66,11.08,10.85,12.26,18.92,5.17,39.34,48.27,6.57,28.07,36.4,1.19,7.34,7.69,713
E06000026,,Plymouth UA,,10.38,14.88,41.54,33.2,7.37,12.28,7.87,12.88,8.47,12.4,17.36,4.43,37.92,45.16,5.64,29.52,36.89,1.32,7.18,7.56,746
E06000027,,Torbay UA,,12.78,16.4,39.06,31.76,7.24,10.47,10.15,15.41,8.8,13.56,19.24,4.89,35.3,42.81,5.6,28.26,35.26,1.25,7.06,7.41,1037
E06000028,,Bournemouth UA,,9.99,15.54,42.38,32.1,7.4,11.33,7.76,12.21,8.68,12.88,18.19,4.92,38.28,46.48,6.28,28.13,36.06,1.12,7.24,7.56,900
E06000029,,Poole UA,,9.34,17.67,42.59,30.4,7.4,13.54,6.85,11.82,8.29,14.79,20.55,4.38,38.92,46.26,5.85,26.9,33.9,1.16,7.23,7.57,893
E06000030,,Swindon UA,,11.72,18.54,35.91,33.83,7.23,12.56,8.82,14.62,9.59,15.04,22.04,5.68,31.9,39.92,6.23,29.68,37.98,1.47,7.02,7.44,779
E06000031,,Peterborough UA,,11.23,18.38,38.88,31.51,7.25,12.24,8.52,13.93,9.25,15.04,21.73,6.06,34.25,43.51,6.9,27.23,35.79,1.5,7.04,7.46,730
E06000032,,Luton UA,,11.43,17.89,36.81,33.86,7.3,11.83,8.77,14.09,9.64,14.5,21.29,5.93,32.52,41.1,5.99,29.87,37.86,1.24,7.13,7.48,780
E06000033,,Southend-on-Sea UA,,9.32,15.62,41.76,33.29,7.47,12.89,6.96,11.69,9.62,12.66,18.58,4.96,37.68,45.84,6.1,29.3,37.29,1.14,7.3,7.64,750
E06000034,,Thurrock UA,,11.53,19.16,37.24,32.07,7.25,11.76,8.86,14.19,9.43,15.61,22.71,5.58,33.15,41.32,6.54,27.95,36.2,1.39,7.06,7.45,783
E06000035,,Medway UA,,11.39,18.5,36.22,33.88,7.29,12.54,8.58,14.2,8.79,15.31,21.7,5.39,32.38,40.06,5.57,30.17,37.59,1.29,7.1,7.47,895
E06000036,,Bracknell Forest UA,,9.04,21.02,39.28,30.66,7.31,13.9,6.57,11.51,9.96,16.9,25.14,5.94,34.69,43.87,6.13,26.96,34.36,1.15,7.15,7.48,798
E06000037,,West Berkshire UA,,6.51,16.45,47.84,29.21,7.49,14.27,4.68,8.34,8.8,13.6,19.3,4.87,43.25,52.42,7.23,25.05,33.36,1.05,7.33,7.64,797
E06000038,,Reading UA,,7.59,18.5,44.32,29.6,7.4,14.71,5.39,9.78,8.37,15.45,21.55,4.78,40.15,48.48,6.62,25.74,33.45,1.11,7.23,7.56,910
E06000039,,Slough UA,,12.07,17.7,35.63,34.6,7.27,10.59,9.56,14.58,8.85,14.62,20.78,5.69,31.64,39.61,6.07,30.47,38.73,1.39,7.07,7.47,790
E06000040,,Windsor and Maidenhead UA,,7.71,16.69,43,32.59,7.49,12.72,5.78,9.65,9.09,13.71,19.67,4.76,38.98,47.03,5.79,28.88,36.31,1.13,7.33,7.66,860
E06000041,,Wokingham UA,,8.98,19.59,38.91,32.52,7.35,15.36,6.27,11.7,9.82,15.8,23.37,5.74,34.52,43.31,6.55,28.32,36.71,1.37,7.15,7.55,718
E06000042,,Milton Keynes UA,,9.33,16,44.98,29.7,7.33,11.54,7.21,11.44,9.18,13.11,18.89,3.9,41.53,48.42,5.65,26.4,33,1.1,7.17,7.49,951
E06000043,,Brighton and Hove UA,,9.35,19.96,42.97,27.73,7.26,12.7,7.01,11.68,8.51,16.62,23.29,4.15,39.46,46.47,5.83,24.55,30.91,1.11,7.1,7.42,930
E06000044,,Portsmouth UA,,8.29,17.85,42.41,31.45,7.43,12.24,6.3,10.29,9.29,14.59,21.11,4.98,38.26,46.56,6.95,27.15,35.75,1.07,7.28,7.59,934
E06000045,,Southampton UA,,11.12,18.31,42.61,27.97,7.2,14.55,7.94,14.3,10.99,14.35,22.27,5.93,37.64,47.57,7,24.12,31.82,1.54,6.98,7.42,941
E06000046,,Isle of Wight UA,,8.06,15.55,37.35,39.04,7.62,10.85,6.35,9.78,7.25,13.34,17.77,4.18,34.28,40.41,4.29,35.75,42.33,0.95,7.48,7.77,1280
E06000047,,County Durham UA,,14.79,18.24,35.46,31.51,7.06,9.38,12.06,17.52,7.83,15.43,21.05,5.16,31.86,39.06,5.77,27.94,35.09,1.38,6.87,7.25,842
E06000048,,Northumberland UA,,8.7,19.17,44.65,27.48,7.25,11.86,6.68,10.73,8.23,16.06,22.27,4.19,40.98,48.33,6.45,23.99,30.96,1.1,7.1,7.41,815
E06000049,,Cheshire East UA,,5.47,14.61,50.1,29.82,7.51,21.3,4.3,10.52,11.03,13.37,20.8,5.46,38.02,47.18,7.05,28.33,37.49,1.75,7.25,7.77,514
E06000050,,Cheshire West and Chester UA,,8.75,15.15,42.63,33.47,7.45,19.44,5.39,12.1,13.25,11.19,19.12,6.64,37.04,48.22,9.03,27.5,39.43,1.69,7.2,7.69,380
E06000051,,Shropshire UA,,8.87,14.68,40.88,35.56,7.54,12.47,6.7,11.05,9.36,11.98,17.39,4.48,37.28,44.48,5.1,32,39.13,1.1,7.37,7.7,903
E06000052,,Cornwall UA,,11.26,16.14,33.31,39.29,7.49,10.85,8.86,13.66,8.24,13.53,18.76,5.47,29.73,36.89,5.03,35.4,43.18,1.16,7.32,7.67,955
E06000053,,Isles of Scilly UA,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
E06000054,,Wiltshire UA,,7.93,16.69,41.76,33.62,7.49,13.14,5.88,9.98,8.72,13.83,19.55,4.55,38.03,45.5,5.49,29.99,37.25,0.97,7.35,7.63,912
E06000055,,Bedford UA,,13.53,18.36,43.97,24.14,7.58,30.45,8.78,18.28,17.76,12.45,24.26,7.69,36.34,51.6,9.7,17.63,30.65,1.75,7.32,7.84,270
E06000056,,Central Bedfordshire UA,,11.39,15.89,38.48,34.24,7.39,16.92,7.58,15.2,12.9,11.83,19.94,7.2,33.01,43.95,7.35,29.27,39.22,1.66,7.15,7.63,420
E07000004,,,Aylesbury Vale,8.01,18.58,43.71,29.7,7.33,19.25,4.95,11.07,15.05,13.03,24.12,7.22,37.45,49.97,9.68,24,35.4,1.85,7.06,7.6,300
E07000005,,,Chiltern,,,,,7.49,30.83,1.42,8.3,17.97,10.05,23.35,11.31,36.8,55.18,13.62,23.75,41.15,2.31,7.15,7.84,172
E07000006,,,South Bucks,,,,,7.68,35.61,1.89,11.73,42.05,1.18,14.91,9.09,44.25,64.24,18.26,19.45,42.34,3.06,7.21,8.16,91
E07000007,,,Wycombe,11.43,18.53,44.25,25.78,7.28,20.54,6.96,15.91,13.94,13.64,23.42,8.42,37.41,51.1,9.62,20.12,31.44,1.97,6.99,7.56,263
E07000008,,,Cambridge,,,,,7.29,29.79,2.23,14.73,23.35,11.6,26.15,10.88,31.49,48.53,15.07,23.21,42.05,2.81,6.88,7.7,146
E07000009,,,East Cambridgeshire,,,,,7.37,25.75,4.51,14.27,18.23,10.51,22.74,11.69,32.39,52.38,17.24,20.61,42.6,2.71,6.97,7.78,129
E07000010,,,Fenland,,,,,7.58,43.17,6.69,19.27,18.9,13.53,42.98,15.2,18.79,44.12,14.54,18.93,35.7,3.04,7.12,8.05,111
E07000011,,,Huntingdonshire,,,,,7.76,25.4,5.17,15.94,18.17,12.1,22.91,9.87,36.8,49.99,9.48,21.87,35.23,2.02,7.45,8.08,217
E07000012,,,South Cambridgeshire,,,,,7.77,26.71,3.55,11.6,17.07,11.7,23.75,8.84,34.97,49.92,10.45,25.55,38.97,1.7,7.5,8.03,240
E07000026,,,Allerdale,,,,,7.75,29.2,2.86,10.84,18.69,10.41,22.79,8.77,30.11,42.88,11.3,31.02,49.09,2.42,7.37,8.12,193
E07000027,,,Barrow-in-Furness,,,,,7.19,26.93,4.87,16.56,26.75,8,26.9,11.21,33.07,52.49,14.09,20.77,37.34,3.14,6.73,7.64,130
E07000028,,,Carlisle,,,,,7.28,26.22,4.19,13.6,20.42,12.42,26.3,8.97,32.85,49.29,15.8,22.41,38.94,2.8,6.87,7.68,191
E07000029,,,Copeland,,,,,7.61,27.86,5.48,19.62,21.21,13.51,33.82,15.05,24.26,45.49,17.94,18.42,39.4,2.88,7.17,8.06,120
E07000030,,,Eden,,,,,7.57,118.1,-1.25,3.01,25.59,7.44,23.73,13.94,27.84,49.98,14.5,31.41,57.84,3.1,7.1,8.05,110
E07000031,,,South Lakeland,,,,,7.7,26.01,4.44,12.45,27.25,14.77,26.27,9.45,34.74,51.23,10.8,21.13,34.97,2.3,7.34,8.05,198
E07000032,,,Amber Valley,,,,,7.71,27.68,4.99,17.45,21.33,8.76,21.85,10.44,31.61,48.34,12.09,25.38,41.62,2.05,7.39,8.02,150
E07000033,,,Bolsover,,,,,7.5,24.8,8.03,25.04,37.48,12.02,29.57,17.04,14.44,30.8,13.21,28.17,51.93,3.54,6.97,8.04,102
E07000034,,,Chesterfield,,,,,7.22,20.45,7.78,18.59,20.69,9.17,22.16,10.34,33.59,51.14,12.54,21.55,36.02,2.49,6.86,7.58,144
E07000035,,,Derbyshire Dales,,,,,7.57,32.4,0.13,15.35,32.19,4.53,20.8,13.62,34,59.02,14.71,21.62,44.56,3.28,7.07,8.08,105
E07000036,,,Erewash,,,,,7.59,28.89,3.52,13.21,23.89,7.97,22.64,13.27,29.31,50.55,15.76,24.9,47.91,3.03,7.13,8.05,149
E07000037,,,High Peak,,,,,7.53,25.7,5.28,16.51,16.34,10.45,20.63,11.83,29.6,48,12.6,25.99,43.54,2.77,7.12,7.95,120
E07000038,,,North East Derbyshire,,,,,7.23,25.48,4.88,15.06,18.97,12.47,27.77,12.96,25.46,43.33,13.63,25.82,45.21,3.67,6.7,7.76,130
E07000039,,,South Derbyshire,,,,,7.32,35.98,1.43,9.01,19.25,14.47,32.84,11.47,35.78,57.31,16.44,16.43,32.73,2.21,7,7.65,117
E07000040,,,East Devon,,,,,7.79,26.68,3.12,10.22,22.77,6.4,17.04,10.04,32.2,48.32,11.49,31.87,50.84,2.25,7.44,8.14,172
E07000041,,,Exeter,,,,,7.45,25.04,4.98,15.02,22.46,8.66,22.88,9.64,35.89,53.11,14.42,21.12,38.33,2.35,7.1,7.8,130
E07000042,,,Mid Devon,,,,,7.29,29.62,5.76,22.89,24.53,6.17,18.28,11.73,32.42,52.56,17.57,19.98,41.95,3.9,6.72,7.86,97
E07000043,,,North Devon,,,,,7.56,29.5,3.33,12.99,20.39,10.49,25.04,12.17,29.85,49.16,9.59,27.91,41.23,2.11,7.24,7.88,140
E07000044,,,South Hams,,,,,7.1,29.92,4.21,16.84,16.85,13.79,27.88,11.45,31.82,50.79,17.57,17.7,36.96,3.53,6.59,7.6,143
E07000045,,,Teignbridge,,,,,7.47,23.2,3.88,10.54,20.02,9.84,22.88,7.77,39.25,53.61,11.15,23.34,36.66,2.16,7.15,7.79,186
E07000046,,,Torridge,,,,,7.69,31.26,3.37,15.23,31.47,4.14,18.99,14,27.88,50.17,12.78,29.65,50.57,3.11,7.2,8.18,93
E07000047,,,West Devon,,,,,7.17,45.02,0.63,14.12,20.59,13.55,33.02,16.07,31.48,61.95,25.71,10.82,34.44,2.97,6.74,7.61,86
E07000048,,,Christchurch,,,,,7.03,23.77,6.04,19.28,16.98,11.23,28.8,12.46,33.01,53.37,16.72,14.87,33.4,2.77,6.64,7.42,128
E07000049,,,East Dorset,9.61,16.58,44.89,28.92,7.33,19.6,5.87,13.36,17.59,10.78,22.37,7.91,37.83,51.95,10.37,22.96,34.89,1.83,7.06,7.6,229
E07000050,,,North Dorset,,,,,8.06,53.07,0.88,8.21,29.7,6.22,23.01,9.42,31.62,51.05,9.82,31.53,47.49,2.51,7.65,8.46,158
E07000051,,,Purbeck,,,,,7.51,33.07,0.93,10.14,22.61,5.34,21.59,15.62,30.88,51.86,14.93,29.04,50.2,3.47,6.99,8.04,117
E07000052,,,West Dorset,,,,,7.66,27.32,3.35,11.29,16.86,10.65,21.37,10.3,31.41,47.57,9.64,30.05,44.3,1.75,7.4,7.93,252
E07000053,,,Weymouth and Portland,,,,,7.61,38.01,3.59,26.2,23.99,7.98,22.66,16.92,24.51,49.53,16.09,22.23,43.28,2.84,7.18,8.05,130
E07000061,,,Eastbourne,,,,,7.09,21.98,6.6,16.92,20.46,11.89,28.29,9.27,36.35,52.86,14.11,16.91,30.17,2.27,6.77,7.41,178
E07000062,,,Hastings,,,,,7.4,27.43,4.56,15.73,27.49,6.72,23.24,13.18,30.77,52.91,15.53,22.74,43.33,2.93,6.97,7.83,136
E07000063,,,Lewes,,,,,7.48,40.2,2.02,18.33,21.45,7.84,19.54,9.79,32.82,48.73,11.92,26.96,43.76,3.27,6.99,7.97,175
E07000064,,,Rother,,,,,7.52,33.9,2.17,11.3,18.02,9.45,20.11,9.12,37.46,54.18,12.08,24.78,40.56,2.24,7.18,7.85,158
E07000065,,,Wealden,,,,,7.29,22.18,6.32,16.26,13.83,13.72,24.1,8.34,31.35,43.79,9.24,26.32,38.14,2.23,6.96,7.61,253
E07000066,,,Basildon,,,,,7.05,24.26,4.96,14.3,17.33,16.43,33.88,10.1,31.18,46.96,15.24,18.18,34.12,2.63,6.68,7.42,164
E07000067,,,Braintree,,,,,7.33,22.81,4.41,11.76,16.29,12.71,24.94,10.07,36.05,54.16,12.87,20.8,35.17,2.16,7.02,7.65,183
E07000068,,,Brentwood,,,,,7.58,27.91,4.77,21.71,32.12,19.77,47.34,19.63,16.63,39.48,18.33,13.88,36.43,3.48,7.03,8.12,80
E07000069,,,Castle Point,,,,,7.09,36.21,3.17,15.35,27.23,7.83,23.72,13.91,34.2,54.93,20.42,21.9,38.9,4.39,6.45,7.72,94
E07000070,,,Chelmsford,11.87,14.54,40.23,33.36,7.37,19.22,7.34,16.4,15.05,10.19,18.89,9.63,32.54,47.92,10.14,26.64,40.08,2.15,7.05,7.68,254
E07000071,,,Colchester,,,,,7.43,21.91,5.65,14.37,18.26,9.7,20.77,9.74,32.1,47.52,10.2,27.85,42.03,2.06,7.12,7.73,213
E07000072,,,Epping Forest,,,,,7.4,35.03,2.82,12,19.89,7.41,19.3,10.98,37.95,56.68,14.97,24.22,39.62,2.88,6.97,7.83,140
E07000073,,,Harlow,,,,,7.56,28.94,4.03,15.78,24.16,8.67,25.65,24.06,16.3,47.96,21.42,22.9,58.71,3.64,6.99,8.12,84
E07000074,,,Maldon,,,,,7.81,70.35,-1.48,8.02,28.78,6.25,24.54,14.83,28.1,52.87,15.49,27.79,53.91,2.99,7.33,8.29,95
E07000075,,,Rochford,,,,,7.07,27,5.81,19.76,17.3,14.25,29.58,13.02,26.38,45.22,16.03,19.94,39.06,3.47,6.57,7.56,107
E07000076,,,Tendring,,,,,7.34,23.7,5.22,14.55,18.9,9.98,22.02,7.7,37.68,51.33,11.48,22.84,36.38,2.35,7,7.69,193
E07000077,,,Uttlesford,,,,,7.84,37.5,4.41,19.08,27.97,9.43,27.63,10.19,23.37,43.77,14.49,26.99,45.31,2.25,7.48,8.19,116
E07000078,,,Cheltenham,,,,,7.49,35.01,6.21,21.62,19.44,9.78,24.2,12.41,32.74,49.26,12.2,17.8,38.38,2.37,7.13,7.84,161
E07000079,,,Cotswold,,,,,8.03,49.54,2.01,18.76,28.06,9.24,25.08,11.45,30.53,51.1,10.29,22.71,40.55,1.91,7.72,8.34,128
E07000080,,,Forest of Dean,,,,,7.11,26.18,4.86,15.73,17.77,11.2,23.71,13.06,27.87,47.79,13.24,25.23,43.61,3.13,6.66,7.56,110
E07000081,,,Gloucester,,,,,6.96,24.71,5.38,15.91,17.27,16.17,33.25,12.57,29.36,49.1,16.62,16.96,33.87,2.91,6.55,7.36,158
E07000082,,,Stroud,,,,,7.45,20.62,8.55,20.52,18.9,9.16,20.27,11.19,27.69,43.63,11.32,27.16,43.03,2.24,7.12,7.79,160
E07000083,,,Tewkesbury,,,,,7.55,30.57,4.98,20.88,29.82,4.46,17.83,13.93,23.6,41.98,13.24,31.65,54.63,3.64,7,8.11,110
E07000084,,,Basingstoke and Deane,,,,,7.44,26.26,4.13,13.15,15.75,10.9,20.84,8.77,34.94,49.72,11.42,25.63,40.7,2.15,7.12,7.76,199
E07000085,,,East Hampshire,,,,,7.27,25.84,5.68,17.79,19.23,9.56,21.47,9.21,34.97,50.73,11.51,23.02,36.76,2.66,6.89,7.66,186
E07000086,,,Eastleigh,,,,,7.65,24.11,4.57,14.86,23.35,9.14,21.58,11.59,40.38,56.69,9.7,19.15,33.63,2.44,7.28,8.03,151
E07000087,,,Fareham,,,,,7.39,24.53,4.92,14.42,24.16,7.85,22.57,12.23,29.77,49.09,13.45,26.07,45.31,2.86,6.97,7.82,152
E07000088,,,Gosport,,,,,7.41,41.94,11.56,31.31,37.88,6.32,18.49,16.39,27.09,49.14,14.17,18.12,37.96,5.3,6.61,8.2,91
E07000089,,,Hart,,,,,8.04,44.5,0.45,8.47,25.92,6.2,19.83,11.5,28.88,46.36,12.7,33.38,56.43,2.76,7.6,8.49,106
E07000090,,,Havant,,,,,7.5,33.79,1.96,10.11,19.53,10.61,24.19,9.39,34.88,50.99,12.99,24.9,42.35,2.74,7.09,7.9,175
E07000091,,,New Forest,,,,,7.53,29.91,2.26,8.84,13.63,14.53,25.28,8.2,34.28,47.57,9.75,27.13,40.12,1.93,7.24,7.82,266
E07000092,,,Rushmoor,,,,,7.42,33.77,3.5,18.51,29.62,4.85,19.27,13.8,32.63,57.84,14.35,22.51,40.88,3.24,6.93,7.9,103
E07000093,,,Test Valley,,,,,7.52,33.82,3.4,13.67,19.49,9.55,22.84,11.42,27.76,44.81,14.31,30.61,47.37,2.85,7.09,7.95,170
